Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Social Studies Teacher Education,49200.0,66700.0
Biblical Studies & Practical Ministries,45400.0,66600.0
Communication Sciences & Disorders,49900.0,66500.0
Emergency Medical Services (EMS),47300.0,66300.0
Deaf Studies,43700.0,66100.0
Community Health Education,48600.0,65800.0
Musical Theatre,50000.0,65500.0
Pastoral Ministry,43500.0,65200.0
Bible Studies & Theology,44800.0,65100.0
Biblical Studies,47000.0,65000.0
Christian Ministry,43000.0,64500.0
Human Development & Family Studies,45400.0,64400.0
Church Ministries,43600.0,64300.0
Community Development,50300.0,63600.0
Music Therapy,48500.0,63500.0
Voice & Opera,38700.0,63200.0
Legal Assistant Studies,42000.0,63000.0
Health and Human Services,48800.0,62900.0
Home Economics,47700.0,62800.0
Special Education,46400.0,62700.0
Conflict Resolution,52000.0,62100.0
Educational Psychology,45900.0,61800.0
Developmental Psychology,42900.0,61800.0
Youth Ministry,42800.0,61700.0
Therapeutic Recreation,44900.0,61500.0
Community & Human Services,48100.0,61300.0
Social Work (SW),43300.0,61300.0
Elementary Education,45800.0,60700.0
Office Administration,43400.0,60500.0
Christian Education,45300.0,60300.0
Counseling,45100.0,59600.0
Human Services (HS),44400.0,59600.0
Health & Human Performance,43000.0,58900.0
Mental Health Counseling,40600.0,58500.0
Middle School Education,47200.0,58500.0
Child Development,42200.0,57900.0
Recreational Therapy,44900.0,57200.0
Early Childhood & Elementary Education,43400.0,56500.0
Outdoor Education,42200.0,55200.0
Baking & Pastry Arts,42400.0,54900.0
Mental Health,42700.0,52900.0
Child & Family Studies,41600.0,52700.0
Equine Studies,40300.0,52500.0
Addictions Counseling,45900.0,52200.0
Nonprofit Administration,42800.0,52100.0
Early Childhood Education,41700.0,50600.0
Metalsmithing,44700.0,44900.0
