Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Molecular Biology,61700.0,117600.0
Building Construction Management,70500.0,117500.0
Business Operations,71300.0,117400.0
Computer Information Systems (CIS),69400.0,117300.0
Electrical Engineering Technology (EET),74000.0,117300.0
Government & International Politics (GVIP),58100.0,117200.0
Information Security,75000.0,117100.0
East Asian Studies,57500.0,116900.0
Strategic Management,74900.0,116700.0
Labor Relations,55700.0,116600.0
Entrepreneurship & Leadership,64300.0,116400.0
Agricultural Engineering (AE),71500.0,116300.0
Information Technology Management,71900.0,116100.0
International Relations,60500.0,116100.0
Financial Planning,61200.0,115800.0
Computer Engineering Technology (CET),71100.0,115700.0
Corporate Finance,72400.0,115700.0
Engineering Science,77500.0,115600.0
European History,59400.0,115500.0
Rhetoric,59300.0,114900.0
Network Engineering,69400.0,114600.0
Mechanical Design,68400.0,114500.0
Environmental Engineering,70400.0,114400.0
Chinese Language,61000.0,114000.0
Robotics,87900.0,114000.0
Economics & Management,61500.0,113800.0
Computing,71300.0,113600.0
Product Design,70000.0,113600.0
Mechanical Engineering Technology (MET),72300.0,113200.0
Industrial & Labor Relations,77000.0,113000.0
Food Science & Technology,59800.0,112800.0
Accounting & Auditing,65400.0,112700.0
Biochemistry (BCH),57100.0,112600.0
Accounting & Finance,66900.0,112500.0
Agricultural Economics & Business,62100.0,112500.0
Engineering Technology (ET),65800.0,112500.0
Biotechnology,61100.0,112500.0
Dairy Science,57700.0,112200.0
Operations Management (OM),69700.0,112200.0
Web Development,61600.0,112200.0
Industrial Management,65200.0,111900.0
Information Assurance,61600.0,111900.0
Telecommunication & Information Management,66800.0,111900.0
Environmental Policy Analysis & Planning,58200.0,111600.0
Pharmaceutical Sciences (PS),60900.0,111600.0
Aviation,65000.0,111400.0
Business & Marketing,59000.0,111400.0
Computer Networking Systems,64000.0,111400.0
Organizational Behavior,63500.0,111400.0
Consumer Economics,60600.0,111300.0
Information Technology (IT),67800.0,111300.0
Sales & Business Marketing,63900.0,111300.0
Aviation Management,58000.0,111200.0
Informatics,78700.0,111200.0
Industrial Safety,59400.0,111100.0
Structural Design & Construction Engineering Technology,77000.0,111100.0
Computer Security,76500.0,110800.0
Hotel Administration,76800.0,110800.0
Software Applications & Programming,71400.0,110800.0
Occupational Health and Safety,66800.0,110700.0
Database Management,74500.0,110600.0
Business Technology Management,69600.0,110400.0
Production Management,55800.0,110400.0
Business & Finance,63600.0,109800.0
Environmental Health & Safety,64800.0,109600.0
Information Technology (IT) & Systems,70400.0,109600.0
Telecommunications Management,60600.0,109600.0
Electronics Engineering Technology (EET),72600.0,109300.0
Marketing & Management,57700.0,109300.0
Operations & Supply Chain Management,69300.0,109300.0
Physical Therapy,54900.0,109300.0
Politics,59500.0,109300.0
Physics & Astronomy,63700.0,109200.0
Agribusiness,57600.0,109000.0
Chemistry,58500.0,109000.0
Finance & Banking,62600.0,109000.0
Aviation Flight Science (AFL),61500.0,108800.0
Construction Science & Management,73800.0,108600.0
Marketing,58200.0,108400.0
Cell Biology,56800.0,108100.0
Civil Engineering Technology (CET),66000.0,108100.0
Genetics,61200.0,108100.0
Government & Politics,59500.0,107800.0
Biopsychology,60300.0,107500.0
Applied Networking & Systems Administration,67200.0,107500.0
Industrial Technology (IT),71700.0,107400.0
Geological Engineering,68400.0,107200.0
Real Estate Development,66600.0,107200.0
Accounts,67100.0,107100.0
Electromechanical Engineering,79100.0,107100.0
Risk Management,68500.0,107000.0
Social Ecology,55400.0,107000.0
Microbiology & Immunology,63500.0,106800.0
French Literature,53900.0,106600.0
City & Regional Planning,58600.0,106500.0
Construction Technology,71500.0,106500.0
Italian Language,56600.0,106500.0
Marketing Communication,52200.0,106500.0
Business Management & Marketing,56900.0,106400.0
Industrial Design (ID),62900.0,106400.0
Marketing & Communications,56400.0,106300.0
Political Science,57700.0,106200.0
Advertising Design,58000.0,106100.0
Manufacturing Management,72300.0,106100.0
Computer Information Systems,65100.0,106000.0
Network Security,68000.0,106000.0
Risk Management & Insurance,67400.0,106000.0
Comparative Literature,53600.0,105800.0
Sales & Marketing,61100.0,105800.0
Welding Engineering Technology,82700.0,105600.0
Philosophy,60500.0,105500.0
Networks & Telecommunications,61600.0,105500.0
Business Data Analysis,72600.0,105500.0
Environmental Science & Policy,56600.0,105400.0
German Language,59000.0,105400.0
Japanese Studies,58000.0,105400.0
Atmospheric Science,55700.0,105200.0
Business Psychology,58000.0,105200.0
Digital Design,56400.0,105200.0
International Development Studies,53700.0,105200.0
Accounting,62100.0,105100.0
Spanish Literature,57900.0,105000.0
Technical Communication,55600.0,105000.0
Computer Programming,67000.0,104800.0
Architecture,58000.0,104500.0
Project Management,64400.0,104500.0
Hotel Management,55900.0,104200.0
Music Production & Engineering,53400.0,104200.0
Urban Planning,56100.0,104200.0
Cell & Molecular Biology,58100.0,104000.0
Safety Management,67500.0,104000.0
Manufacturing Engineering Technology,74900.0,103500.0
Advertising,53500.0,103400.0
Marketing Management,58700.0,103300.0
Insurance,63400.0,103300.0
Occupational Therapy (OT),60700.0,103200.0
Applied Computer Science,74000.0,103000.0
Geology,56000.0,102800.0
Meteorology,53100.0,102800.0
Electronic Systems Technology (EST),86900.0,102600.0
Environmental Design,54000.0,102600.0
Radiation Therapy,76100.0,102600.0
Latin American Studies,53200.0,102500.0
Logistics,66400.0,102500.0
Transportation & Logistics Management,65800.0,102500.0
Applied Technology,65500.0,102300.0
Environmental Health,56900.0,102200.0
Design,60500.0,102000.0
Computer Graphics Technology (CGT),55100.0,101800.0
Crop Science,54700.0,101800.0
Industrial Psychology,56400.0,101500.0
Entrepreneurship,61500.0,101300.0
German Studies,57500.0,101300.0
Neuroscience,58900.0,101300.0
Computer & Network Administration,64500.0,101200.0
Financial Accounting,63500.0,101200.0
Food Science,60400.0,101200.0
Microbiology,54800.0,101200.0
Digital Media Design,52200.0,101000.0
Agronomy,55200.0,101000.0
Accounting & Management,62600.0,100600.0
Aeronautics,69600.0,100600.0
Business Communication,57900.0,100600.0
Urban & Regional Planning,59600.0,100500.0
Global Business Management,63800.0,100100.0
Police Science,61500.0,100100.0
Math & Science,63900.0,100000.0
Corporate Communications,54700.0,99900.0
Political Science/Public Law,59200.0,99800.0
Accounting Information Systems,70900.0,99700.0
Anthropology & English,53800.0,99700.0
Organizational Psychology,56400.0,99700.0
Advertising & Marketing Communications,54900.0,99200.0
Entomology,49900.0,99200.0
Product Design Engineering,73500.0,99100.0
Personal Financial Planning,60400.0,99000.0
Biological Sciences,56400.0,98900.0
Pre-law,52900.0,98900.0
Textile Technology,60400.0,98800.0
Strategic Communication,52900.0,98700.0
Technology,63200.0,98700.0
Environmental Science,55800.0,98600.0
International Studies,56200.0,98500.0
Cinema Studies,53200.0,98300.0
Professional & Technical Writing,54800.0,98200.0
Automotive Technology,55400.0,97800.0
New Media Design,63100.0,97700.0
Theatre & Drama Studies,53100.0,97700.0
Information Systems Security,64800.0,97700.0
Aviation Maintenance Technology,57300.0,97500.0
Organizational Development,60800.0,97500.0
Financial Management,62700.0,97400.0
International Trade & Business,61500.0,97400.0
Textile & Apparel Studies,53300.0,97400.0
Toxicology,53900.0,97400.0
Construction Engineering Technology,63800.0,97200.0
Advertising & Marketing,55200.0,97100.0
English Literature,53800.0,97100.0
Advertising & Promotion,53400.0,97000.0
Agricultural Science,53800.0,96900.0
Fashion Design,53900.0,96900.0
Hydrology,53400.0,96900.0
Technical Management,72300.0,96800.0
Electronics & Computer Technology,60500.0,96600.0
French Studies,59000.0,96500.0
Magazine Journalism,54300.0,96500.0
Management,58100.0,96500.0
Sociology & Organizational Studies,61400.0,96500.0
International Affairs,58300.0,96300.0
Business Administration,60200.0,96300.0
Finance & Marketing,67800.0,96200.0
Land Surveying,58200.0,96200.0
Journalism & Mass Communication,52800.0,96100.0
Business Management,58700.0,95900.0
Speech & Drama,45100.0,95900.0
Agribusiness Management,58700.0,95600.0
Digital Media,52000.0,95600.0
Drama,55600.0,95500.0
Linguistics,58600.0,95500.0
Architectural Engineering Technology,56800.0,95400.0
General Science,56300.0,95400.0
Pre-Medicine,57200.0,95300.0
Business Administration & Accounting,59500.0,95200.0
History & Politics,55300.0,95200.0
Nursing Science,75600.0,95200.0
Global Business,62000.0,95100.0
Integrated Marketing Communications,53500.0,95100.0
American History (United States),58900.0,94900.0
Architectural Studies,50900.0,94800.0
Communication,54800.0,94800.0
Personnel Management,57900.0,94800.0
General Business,56300.0,94700.0
Interior Architecture,53500.0,94700.0
Public Affairs,59400.0,94700.0
Natural Sciences,49500.0,94700.0
Writing,49900.0,94600.0
Human Biology,57400.0,94500.0
Marketing & Mass Communications,53700.0,94500.0
Computer Art,44600.0,94500.0
French Language,56100.0,94100.0
Journalism,52300.0,94100.0
Interpersonal & Organizational Communication,47500.0,94000.0
Organizational Communication,52400.0,94000.0
Textile Design,56200.0,94000.0
Biology & Chemistry,55700.0,93900.0
Nursing,73100.0,93900.0
Public Relations & Communication,51700.0,93900.0
Environmental & Natural Resource Economics,58600.0,93700.0
Biology,53500.0,93600.0
Environmental Management,57500.0,93600.0
General & Strategic Management,56800.0,93600.0
Bachelor in Science Nursing,73700.0,93400.0
History,54300.0,93400.0
Literature,53200.0,93300.0
Law,59900.0,93200.0
Physiology,55500.0,93100.0
Entrepreneurial Studies,54800.0,93000.0
Public Relations (PR),51800.0,93000.0
Retail Management,60400.0,93000.0
Computer Aided Drafting & Design (CADD),56300.0,92900.0
Management & Organization,78600.0,92900.0
Agriculture,53600.0,92900.0
Music Technology,50900.0,92900.0
Administration of Justice,51300.0,92800.0
Publishing,52000.0,92800.0
Urban Studies,57700.0,92800.0
Media Studies,57000.0,92700.0
Apparel & Textile Manufacture,54200.0,92600.0
Philosophy & Religion,51300.0,92600.0
Environmental Geography,55900.0,92500.0
Communication Studies & Journalism,51200.0,92300.0
Interpersonal Communications,50200.0,92300.0
Logistics Management,66000.0,92300.0
Retail & Consumer Science,58800.0,92300.0
Web Design & Development,60100.0,92300.0
Accounting & Business,58700.0,92200.0
Architectural Technology,55700.0,92200.0
Geographic Information Systems (GIS),56100.0,92200.0
Environmental Studies,55000.0,92100.0
Interactive Media,61300.0,92100.0
Retail Merchandising,59000.0,91900.0
Diagnostic Medical Sonography,71700.0,91800.0
Agricultural Business,61400.0,91600.0
Network Administration,54400.0,91600.0
Environmental Biology,50500.0,91300.0
Dental Hygiene,81200.0,91300.0
Journalism & Electronic Media,51400.0,91200.0
Web & Digital Media Development,60400.0,91200.0
Workforce Education & Development,67100.0,91200.0
Diagnostic Medical Ultrasound,73800.0,91100.0
Health Policy & Administration,57300.0,91100.0
Quality Management,66000.0,90800.0
Bachelor of Science in Nursing,72000.0,90700.0
Speech Communication,53300.0,90700.0
Retailing,56700.0,90500.0
Visual Effects & Motion Graphics,54100.0,90500.0
Foreign Languages,55600.0,90300.0
Landscape Architecture,58700.0,90200.0
Global Studies,58100.0,90100.0
American Sign Language Interpreting,49400.0,89900.0
